item_id,item_type,topic,title,reason,recommended_action,status,source_path,added_at
743df939bc9d,paper_candidate,remote_id_broadcast_capacity,Use of LoRa for UAV Remote ID with Multi-User Interference and Different Spreading Factors,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
4ae0de791222,paper_candidate,remote_id_broadcast_capacity,Reducing safe UAV separation distances with U2U communication and new Remote ID formats,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
d258cfc492de,paper_candidate,remote_id_broadcast_capacity,A Survey and Categorization of Small Low-Cost Unmanned Aerial Vehicle System Identification,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
19d4bcf8bf99,paper_candidate,remote_id_broadcast_capacity,Drone Remote Identification Protocol (DRIP) Architecture,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
5ff1c42ddf91,paper_candidate,remote_id_broadcast_capacity,Drone Remote Identification Protocol (DRIP) Requirements and Terminology,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
eb47b381181b,paper_candidate,remote_id_broadcast_capacity,Drone Remote Identification Protocol (DRIP) Requirements,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
515e4e6072e3,paper_candidate,remote_id_broadcast_capacity,Formal Verification and Security Assessment of the Drone Remote Identification Protocol,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
9a3bc33df9ed,paper_candidate,remote_id_broadcast_capacity,Survey on Worldwide Implementation of Remote Identification and Discussion on Drone Identification in China,PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
62f68afe3a92,paper_candidate,remote_id_broadcast_capacity,A Low-Power Remote Identification Module for Drones,unknown venue tier; PDF requires user access,Audit venue quality before synthesis.; Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
8e622a127615,paper_candidate,remote_id_broadcast_capacity,Detect and Avoid (DAA) with Broadcast Remote ID (RID),PDF requires user access,Download legally if institutional or personal access is available.,pending,literature\database\paper_candidates.csv,2026-05-29T10:06:08+00:00
